name,MEM_MATCH_ID,xapa_ra,xapa_dec,z,r2500,Tx,Tx-,Tx+,Lx52,Lx52-,Lx52+,Lx,Lx-,Lx+,richness,richness_err,XCS_NAME
SDSSXCS-105919,105919,158.80432,59.940309,0.55922544,0.5594083754602057,1.71939,0.2431187976755981,0.497015741324402,0.1545363639,0.0187506087411929,0.0349638867826273,0.3500770076,0.0524474466130975,0.0742926276264607,29.995493,9.580469,XMMXCS J103513.0+595625.1
SDSSXCS-9258,9258,159.50506,41.77219,0.13306975,2.1485876226416734,2.33412,0.1602587281715086,0.161224077828491,0.06822600086,0.0016466854707988,0.00177884245585,0.1687482824,0.0060771868887513,0.0067722901132753,24.854567000000003,2.1371262,XMMXCS J103801.2+414619.8
SDSSXCS-101428,101428,159.69791999999995,1.5938518,0.5579553,0.407447531442739,1.26954,0.2355944192781371,0.3088789327218628,0.1227751585,0.0318372896361292,0.0374528689325683,0.2494556555,0.0633427259084566,0.0763967775121443,31.200636,9.651729,XMMXCS J103847.5+013537.8
SDSSXCS-1628,1628,160.18457,39.953088,0.1430842,2.592934242499596,3.74708,0.0234006706617431,0.0235137403382568,2.70142688,0.0060855999194497,0.0060651918702259,7.991139038,0.0272453822596112,0.0276883016450391,42.84018,2.5856922,XMMXCS J104044.2+395711.1
SDSSXCS-29655,29655,161.09284,21.507236,0.47449598,0.8993513016764296,3.6442,0.1963950655936277,0.200653829406372,0.280897506,0.004926618207929,0.0054438794336053,0.8208516121,0.0247005185415372,0.0248361350306093,39.346794,6.617334,XMMXCS J104422.2+213026.0
SDSSXCS-7405,7405,161.44015,4.340415599999999,0.15054649,2.122478654678738,2.87268,0.1341897168067625,0.1358956671932372,0.1564210098,0.0024448157139145,0.002248276361222,0.4153577405,0.0119221332312377,0.0117547956528944,27.127558,2.2205079,XMMXCS J104545.6+042025.4
SDSSXCS-47,47,161.85007,15.24336,0.20857787,1.7479140573241276,3.36755,0.0802357632402341,0.1121920877597655,0.559699699,0.005681874970187,0.0060147947778774,1.581828513,0.0254048865973608,0.0233614253385434,127.65784,5.3092155,XMMXCS J104724.0+151436.0
SDSSXCS-76777,76777,162.36195,56.924723,0.4379987,1.1068922109886832,4.9664,1.353935627484375,1.717933813515625,0.281094269,0.0240548798387192,0.0260033000793739,0.9501733637,0.168253252341745,0.1197194799123493,20.17129,3.5215688,XMMXCS J104926.8+565529.0
SDSSXCS-3179,3179,163.11539,44.31802800000001,0.48750097,0.5884507172758144,1.74187,0.2109721836619262,0.5388263693380737,0.1871460201,0.0245497610749918,0.0480476462460288,0.4253207275,0.047822656639024,0.0949565827475186,24.320642000000003,8.629782,XMMXCS J105227.6+441904.8
SDSSXCS-50011,50011,163.20578999999995,10.439727,0.53756803,0.9575648410708374,5.07677,1.3974594557963869,3.525668503203613,0.2056190195,0.019960635625327,0.0205416996124776,0.7028829217,0.1318153896154822,0.1112037231635364,38.233177000000005,9.401025,XMMXCS J105249.3+102623.0
SDSSXCS-3590,3590,163.21348999999995,24.25618,0.5377976,1.0508122939988764,5.67003,0.3182242720349117,0.3465171499650878,1.108902876,0.0205290092343535,0.0202057278654719,4.013282862,0.1433176983354354,0.1239735898739278,108.80268999999998,16.735273,XMMXCS J105251.2+241522.2
SDSSXCS-26565,26565,163.33368000000004,44.137202,0.49077547,0.7880614577888996,3.26444,0.9308820276618652,1.6554732993381345,0.2500414145,0.0329577187079886,0.0400052048528056,0.697715874,0.1193980928567526,0.1315144902459556,32.497307,5.7970653,XMMXCS J105320.0+440813.9
SDSSXCS-7416,7416,164.23042,6.976937,0.32314372,0.9545362878121623,2.33039,0.1990185735014646,0.2103806284985352,0.08024186989,0.0029723444425651,0.0029649061322094,0.19836246,0.0109661478187875,0.0099853851462098,35.47203,3.0817904,XMMXCS J105655.3+065836.9
