name,planck_ra,planck_dec,xmm_ra,xmm_dec,z,r500,m500,m500+,m500-,mg500,mg500+,mg500-,Tx,Tx+,Tx-,Txce,Txce+,Txce-,Lx124,Lx124+,Lx124-,Lx124ce,Lx124ce+,Lx124ce-,Lxbol,Lxbol+,Lxbol-,Lxbolce,Lxbolce+,Lxbolce-,NT,fT,Nsb,fsb
G056.96-55.07,340.841,-9.577,340.83676,-9.594484,0.447,1255,9.62,0.25,0.25,15.23,0.14,0.14,7.63,0.12,0.12,7.58,0.13,0.13,14.61,0.39,0.39,11.98,0.3,0.3,38.36,1.5,1.5,31.48,1.16,1.16,5,0.91,48,0.94
G057.26-45.35,332.943,-3.825,332.94095,-3.8297913,0.397,1334,13.17,0.64,0.65,18.61,0.29,0.28,10.39,0.33,0.33,9.99,0.44,0.44,25.32,0.73,0.73,12.75,0.27,0.27,82.81,4.14,4.14,41.7,1.75,1.75,5,0.91,32,1.0
G058.28+18.59,276.283,30.434,276.33435,30.437153,0.065,1028,3.72,0.06,0.07,4.54,0.2,0.05,5.01,0.04,0.04,4.87,0.05,0.05,2.01,0.04,0.04,1.66,0.02,0.02,4.03,0.11,0.11,3.31,0.08,0.08,19,1.01,65,1.07
G062.42-46.41,335.965,-1.617,335.9492,-1.6499301,0.091,998,3.26,0.39,0.15,2.87,0.13,0.12,4.25,0.08,0.08,4.28,0.12,0.12,1.42,0.05,0.05,1.15,0.04,0.04,2.65,0.13,0.13,2.14,0.1,0.1,8,0.41,30,0.56
G067.23+67.46,216.493,37.834,216.51192,37.825207,0.171,1334,8.11,0.17,0.18,10.44,0.08,0.12,8.16,0.13,0.13,7.65,0.17,0.17,10.96,0.16,0.16,6.9,0.27,0.27,30.38,0.63,0.63,19.11,0.55,0.55,14,1.03,71,1.08
G071.61+29.79,266.803,45.178,266.78748,45.212845,0.157,1039,4.24,0.76,0.59,5.32,0.51,0.43,4.88,0.36,0.36,4.93,0.42,0.42,2.44,0.15,0.15,2.2,0.12,0.12,4.58,0.39,0.39,4.13,0.32,0.32,4,0.95,15,1.05
G072.63+41.46,250.097,46.713,250.0831,46.710957,0.228,1475,10.71,0.42,0.39,16.51,0.26,0.25,8.95,0.25,0.25,8.91,0.3,0.3,14.61,0.5,0.5,10.44,0.29,0.29,45.16,2.48,2.48,32.3,1.58,1.58,9,0.97,45,0.97
G072.80-18.72,320.594,23.203,320.61304,23.197706,0.143,1249,5.33,0.17,0.12,8.25,0.11,0.08,5.93,0.09,0.09,5.99,0.12,0.12,5.69,0.19,0.19,3.99,0.13,0.13,13.32,0.59,0.59,9.35,0.38,0.38,12,0.93,45,0.93
G073.96-27.82,328.412,17.693,328.40347,17.694958,0.233,1492,11.41,0.45,0.38,17.19,0.28,0.24,9.53,0.24,0.24,10.67,0.47,0.47,16.85,0.36,0.36,10.0,0.2,0.2,55.79,1.8,1.8,33.26,0.9,0.9,9,0.94,17,1.01
G080.38-33.20,336.495,17.391,336.52594,17.363567,0.107,1053,3.66,0.07,0.06,3.83,0.03,0.03,5.41,0.07,0.07,4.82,0.08,0.08,2.19,0.04,0.04,1.46,0.02,0.02,4.87,0.12,0.12,3.26,0.06,0.06,12,0.97,99,1.15
